"RR","low","high","year","model"
1.2936641950333,1.24271888337914,1.34608716944199,2001,"No Interaction"
1.07608640988153,1.03138968018575,1.12222306708059,2002,"No Interaction"
0.749820968641745,0.7122699345591,0.788417100584461,2003,"No Interaction"
0.914855600819495,0.874855237813535,0.956272764730728,2004,"No Interaction"
0.827936793715522,0.790621960131328,0.86633205756479,2005,"No Interaction"
0.922132719657585,0.88314294856376,0.962310786193875,2006,"No Interaction"
1.03527500787144,0.994060359663224,1.07770814831576,2007,"No Interaction"
1.08933408768151,1.04733709008415,1.13253232083562,2008,"No Interaction"
1.06221802410662,1.02126092720489,1.10431665716582,2009,"No Interaction"
1.02533733752226,0.985579073103748,1.06617687019515,2010,"No Interaction"
1.05337138963119,1.01339186825802,1.09447334198095,2011,"No Interaction"
0.998294857140131,0.959885207497096,1.03773694627628,2012,"No Interaction"
1.01465212402279,0.976263075074564,1.05407667565869,2013,"No Interaction"
1.04988796997343,1.01069422054906,1.090133026306,2014,"No Interaction"
1.2851164619564,1.21703734297329,1.35586728946741,2001,"With Interaction"
1.05956038790865,1.00275521187167,1.11869748912027,2002,"With Interaction"
0.756556002403859,0.70969981145216,0.805053186689406,2003,"With Interaction"
0.903687259241617,0.853707932413475,0.956008584374677,2004,"With Interaction"
0.826927430451145,0.780273605450232,0.875166068967502,2005,"With Interaction"
0.927148133441236,0.877273831413723,0.979044169663252,2006,"With Interaction"
1.03244299651239,0.97867342439291,1.08836248237011,2007,"With Interaction"
1.08775262721091,1.03208657890481,1.14564373104138,2008,"With Interaction"
1.06462470956265,1.01020229156571,1.12116898112811,2009,"With Interaction"
1.02430798193615,0.971620220357596,1.07890099526772,2010,"With Interaction"
1.05733791379098,1.0037440031069,1.11309718001699,2011,"With Interaction"
1.00632954405127,0.954935027262844,1.05965097939225,2012,"With Interaction"
1.01540197014119,0.96393283257334,1.06876796614982,2013,"With Interaction"
1.06458923505946,1.01042388899672,1.12094543961473,2014,"With Interaction"
